 Win, FirstBlood, firstTower, firstTowerAssist, Kills, Assists, Deaths, GoldEarned, GoldSpent, TotalDamageDealt, MagicDamageDealt, PhysicalDamageDealt, TotalDamageTaken, MinionsKilled, CrowdControl, WardsPlaced,
1,1,1,0,0.8,0.1,0,0.35,0.4,0.46,0.69,0.34,0.47,0.35,0.89,0, 
1,0,0,0,0,0.14,0,0.15,0.15,0.17,0,0.38,0.13,0.18,0.06,0, 
1,0,0,0,0.08,0.28,0.33,0.16,0.16,0.14,0.2,0.11,0.15,0.11,0.01,1, 
1,0,0,0,0.02,0.1,0.33,0.15,0.15,0.07,0.05,0.12,0.14,0.14,0.04,0, 
1,0,0,0,0.1,0.38,0.33,0.19,0.13,0.16,0.06,0.3,0.12,0.22,0,0, 
0,0,0,0,0.33,0.14,0.1,0.21,0.22,0.11,0.23,0.56,0.18,0.22,0.01,0, 
0,0,0,0,0,0,0.24,0.17,0.14,0.16,0.85,0.25,0.2,0.1,0.75,0, 
0,0,0,0,0,0.29,0.35,0.22,0.23,0.42,2.42,0.56,0.23,0.35,0.02,0, 
0,0,0,0,0.33,0.29,0.14,0.19,0.2,0.1,0.08,0.65,0.21,0.1,0.01,0, 
0,0,0,0,0.33,0.29,0.16,0.22,0.21,0.21,0.05,1.4,0.18,0.24,0.2,0, 
1,0,1,0,0.81,0.05,0,0.43,0.39,0.7,0.8,0.1,0.11,0.6,0.33,1, 
1,0,0,0,0.07,0.36,0.13,0.15,0.16,0.06,0.03,0.05,0.21,0.07,0.09,0, 
1,0,0,0,0.02,0.18,0.31,0.15,0.17,0.09,0.04,0.08,0.22,0.16,0,0, 
1,0,0,0,0.05,0.27,0.44,0.15,0.16,0.1,0.09,0.03,0.27,0.11,0.04,0, 
1,0,0,0,0.05,0.14,0.13,0.12,0.12,0.06,0.03,0.02,0.18,0.05,0.54,0, 
0,0,0,0,0.25,0.26,0.23,0.23,0.23,0.28,1.81,0.55,0.24,0.25,0.1,0, 
0,0,0,0,0.19,0.12,0.12,0.17,0.18,0.08,0.05,0.66,0.23,0.12,0.63,0.5, 
0,0,0,0,0.06,0.15,0.28,0.18,0.17,0.2,1.26,0.44,0.16,0.24,0.11,0, 
0,0,0,0,0.5,0.21,0.19,0.25,0.26,0.25,0.04,2.08,0.18,0.23,0.05,0, 
0,0,0,0,0,0.26,0.19,0.17,0.16,0.19,1.14,0.39,0.19,0.15,0.11,0.5, 
1,1,1,0,0.79,0.15,0.28,0.35,0.36,0.53,0.07,1.5,0.28,0.43,0.15,0.25, 
1,0,0,0,0.03,0.3,0.22,0.17,0.16,0.13,0.28,0.1,0.18,0.13,0.64,0.25, 
1,0,0,0,0.05,0.26,0.14,0.16,0.16,0.1,0.17,0.12,0.19,0.12,0.04,0.25, 
1,0,0,0,0.1,0.11,0.14,0.16,0.16,0.12,0.25,0.09,0.2,0.13,0.16,0, 
1,0,0,0,0.03,0.19,0.22,0.16,0.17,0.12,0.23,0.13,0.14,0.19,0,0.25, 
0,0,0,0,0.26,0.18,0.13,0.21,0.21,0.15,0.8,0.45,0.16,0.16,0.53,0, 
0,0,0,0,0.23,0.22,0.31,0.2,0.2,0.21,1.48,0.25,0.23,0.17,0.03,0.33, 
0,0,0,0,0.26,0.16,0.08,0.2,0.21,0.19,0.04,1.22,0.23,0.25,0.13,0.33, 
0,0,0,0,0.14,0.24,0.1,0.18,0.18,0.2,1.06,0.6,0.18,0.17,0.32,0, 
0,0,0,0,0.11,0.2,0.38,0.2,0.2,0.24,0.41,1.58,0.2,0.24,0,0.33, 
1,1,1,0,0.89,0.05,0.13,0.44,0.41,0.76,0,7.22,0.28,0.64,0.71,0.5, 
1,0,0,0,0,0.14,0.13,0.13,0.14,0.05,0.07,0.41,0.19,0.1,0.11,0.5, 
1,0,0,0,0.05,0.33,0.25,0.15,0.16,0.06,0.33,0.21,0.2,0.08,0.04,0, 
1,0,0,0,0,0.38,0.38,0.14,0.15,0.07,0.4,0.25,0.19,0.08,0.13,0, 
1,0,0,0,0.07,0.1,0.13,0.14,0.15,0.07,0.19,0.46,0.14,0.1,0,0, 
0,0,0,0,0.5,0.2,0.16,0.23,0.24,0.27,1.95,0.6,0.22,0.23,0.45,0, 
0,0,0,0,0.13,0,0.2,0.18,0.19,0.26,0.51,1.96,0.22,0.19,0.37,0, 
0,0,0,0,0.25,0.2,0.34,0.21,0.2,0.19,1.02,0.79,0.24,0.24,0.06,0.5, 
0,0,0,0,0,0.4,0.18,0.18,0.18,0.12,0.05,0.94,0.2,0.15,0.12,0, 
0,0,0,0,0.13,0.2,0.11,0.2,0.19,0.15,0.78,0.61,0.12,0.2,0,0.5, 
1,1,0,0,0.48,0.12,0.22,0.26,0.3,0.38,0.39,0.19,0.26,0.32,0.02,0, 
1,0,0,0,0.3,0.16,0.19,0.2,0.18,0.13,0.04,0.16,0.19,0.16,0.06,1, 
1,0,0,0,0.05,0.33,0.32,0.19,0.19,0.08,0.05,0.06,0.17,0.12,0.02,0, 
1,0,0,0,0.14,0.22,0.19,0.19,0.18,0.21,0.26,0.06,0.2,0.21,0.43,0, 
1,0,0,0,0.05,0.16,0.08,0.16,0.15,0.2,0.26,0.05,0.18,0.19,0.47,0, 
0,0,0,0,0.11,0.23,0.25,0.19,0.2,0.11,0.44,0.2,0.22,0.11,0.03,0.22, 
0,0,0,0,0.32,0.12,0.32,0.2,0.19,0.25,1.09,0.23,0.15,0.21,0.02,0.67, 
0,0,0,0,0.08,0.27,0.18,0.17,0.2,0.12,0.43,0.23,0.24,0.14,0.28,0, 
0,0,0,0,0.27,0.18,0.14,0.25,0.22,0.33,0.1,1.78,0.18,0.39,0.08,0, 
0,0,0,0,0.22,0.19,0.11,0.18,0.18,0.19,0.64,0.18,0.22,0.15,0.59,0.11, 
1,1,1,0,0.71,0.13,0.13,0.32,0.28,0.54,0.59,2.9,0.26,0.35,0.48,1, 
1,0,0,0,0,0.19,0.31,0.16,0.17,0.06,0.14,0.27,0.15,0.12,0.01,0, 
1,0,0,0,0.16,0.3,0.06,0.2,0.21,0.11,0.17,0.53,0.21,0.14,0.21,0, 
1,0,0,0,0.12,0.2,0.25,0.2,0.2,0.24,0.02,1.56,0.14,0.34,0.01,0, 
1,0,0,0,0.02,0.17,0.25,0.13,0.14,0.04,0.08,0.17,0.23,0.04,0.28,0, 
0,0,0,0,0.2,0.27,0.16,0.2,0.17,0.2,0.67,0.23,0.18,0.17,0,0, 
0,0,0,0,0.2,0.14,0.29,0.19,0.2,0.16,0.52,0.22,0.24,0.18,0.45,0.2, 
0,0,0,0,0.33,0.14,0.1,0.24,0.24,0.33,1.22,0.31,0.16,0.32,0.06,0, 
0,0,0,0,0.27,0.18,0.18,0.2,0.21,0.21,0,0.95,0.22,0.23,0,0.4, 
0,0,0,0,0,0.27,0.27,0.18,0.18,0.1,0.28,0.17,0.21,0.11,0.49,0.4, 
1,1,0,0,0.54,0.18,0.22,0.31,0.24,0.51,0.61,0.17,0.32,0.44,0.42,0, 
1,0,0,0,0.42,0.39,0.06,0.28,0.44,0.21,0.2,0.13,0.26,0.13,0.56,1, 
1,0,0,0,0,0.1,0.28,0.12,0.09,0.08,0.06,0.06,0.13,0.13,0.01,0, 
1,0,0,0,0.03,0.19,0.33,0.15,0.12,0.13,0.13,0.08,0.14,0.19,0.01,0, 
1,0,0,0,0.01,0.13,0.11,0.13,0.11,0.06,0,0.08,0.14,0.11,0,0, 
0,0,0,0,0.22,0.24,0.1,0.22,0.22,0.31,1.19,0.22,0.16,0.26,0.75,0.21, 
